연도,월,일정,전시요일,전시순서,온라인상품코드,상품명,브랜드명,정상가,최종혜택가,할인율,결제수량,결제금액(포인트포함),PV
2025,1,01/06,월,5,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,152200,15,18,2683000,
2025,1,01/07,화,1,9100000005,러닝 경량 자켓,MOTION LAB,149000,74500,50,70,5359000,
2025,1,01/07,화,2,9100000022,전기 토스터,MORNING BREW,119000,89200,25,63,5119000,
2025,1,01/07,화,3,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,148500,25,47,7304000,
2025,1,01/07,화,4,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,29200,35,117,3392000,
2025,1,01/07,화,5,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,84200,15,21,2163000,
2025,1,01/07,화,6,9100000009,레더 미니 숄더백,ATELIER BAG,329000,296100,10,14,4687000,
2025,1,01/08,수,1,9100000023,미니 공기청정기,AIRNEST,299000,269100,10,23,7364000,
2025,1,01/08,수,2,9100000021,드립 커피메이커,MORNING BREW,159000,119200,25,36,4346000,
2025,1,01/08,수,3,9100000002,여성 울 블렌드 가디건,LUMEN,219000,109500,50,40,3731000,
2025,1,01/08,수,4,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,115000,45,35,4111000,
2025,1,01/08,수,5,9100000003,남성 클래식 셔츠,NORDEN,129000,77400,40,27,2488000,
2025,1,01/09,목,1,9100000014,벨벳 립 틴트,GLOWMATE,32000,19200,40,298,5115000,
2025,1,01/09,목,2,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,142800,15,31,5129000,
2025,1,01/09,목,3,9100000024,무선 서큘레이터,AIRNEST,189000,104000,45,32,3790000,
2025,1,01/09,목,4,9100000002,여성 울 블렌드 가디건,LUMEN,219000,120500,45,43,4387000,
2025,1,01/09,목,5,9100000022,전기 토스터,MORNING BREW,119000,65500,45,84,4788000,
2025,1,01/09,목,6,9100000021,드립 커피메이커,MORNING BREW,159000,135200,15,26,2922000,
2025,1,01/09,목,7,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,143100,10,34,4173000,
2025,1,01/09,목,8,9100000023,미니 공기청정기,AIRNEST,299000,224200,25,17,3934000,
2025,1,01/10,금,1,9100000002,여성 울 블렌드 가디건,LUMEN,219000,131400,40,60,7202000,
2025,1,01/10,금,2,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,49500,50,79,3945000,
2025,1,01/10,금,3,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,39000,25,138,4523000,
2025,1,01/10,금,4,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,94500,50,31,3187000,
2025,1,01/10,금,5,9100000024,무선 서큘레이터,AIRNEST,189000,170100,10,27,4663000,
2025,1,01/10,금,6,9100000009,레더 미니 숄더백,ATELIER BAG,329000,164500,50,29,4033000,
2025,1,01/10,금,7,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,142800,15,39,6789000,
2025,1,01/10,금,8,9100000010,데일리 토트백,ATELIER BAG,259000,220200,15,19,4746000,
2025,1,01/11,토,1,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,89500,50,44,4376000,
2025,1,01/11,토,2,9100000020,세라믹 냄비 세트,HOME TABLE,249000,161800,35,30,5022000,
2025,1,01/11,토,3,9100000002,여성 울 블렌드 가디건,LUMEN,219000,153300,30,41,5407000,
2025,1,01/11,토,4,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,58600,15,45,2500000,
2025,1,01/11,토,5,9100000003,남성 클래식 셔츠,NORDEN,129000,109600,15,16,2040000,
2025,1,01/11,토,6,9100000014,벨벳 립 틴트,GLOWMATE,32000,22400,30,114,2706000,
2025,1,01/12,일,1,9100000012,진정 세럼,PURELAB,59000,29500,50,131,3429000,
2025,1,01/12,일,2,9100000010,데일리 토트백,ATELIER BAG,259000,181300,30,31,6600000,
2025,1,01/12,일,3,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,79200,20,37,2516000,
2025,1,01/12,일,4,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,84000,50,45,4132000,
2025,1,01/12,일,5,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,33800,25,95,3638000,
2025,1,01/12,일,6,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,48300,30,69,3725000,
2025,1,01/14,화,1,9100000009,레더 미니 숄더백,ATELIER BAG,329000,181000,45,33,6218000,
2025,1,01/14,화,2,9100000002,여성 울 블렌드 가디건,LUMEN,219000,197100,10,21,3436000,
2025,1,01/14,화,3,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,151200,20,33,4444000,
2025,1,01/14,화,4,9100000011,수분 장벽 크림,PURELAB,68000,34000,50,92,3684000,
2025,1,01/14,화,5,9100000005,러닝 경량 자켓,MOTION LAB,149000,104300,30,40,3538000,
2025,1,01/14,화,6,9100000021,드립 커피메이커,MORNING BREW,159000,143100,10,31,4995000,
2025,1,01/14,화,7,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,44200,25,76,3578000,
2025,1,01/14,화,8,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,49500,50,63,3219000,
2025,1,01/15,수,1,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,135800,35,50,7017000,
2025,1,01/15,수,2,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,74200,25,42,2807000,
2025,1,01/15,수,3,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,58600,15,50,3563000,
2025,1,01/15,수,4,9100000014,벨벳 립 틴트,GLOWMATE,32000,17600,45,193,3008000,
2025,1,01/15,수,5,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,104000,45,42,3851000,
2025,1,01/15,수,6,9100000024,무선 서큘레이터,AIRNEST,189000,141800,25,26,3425000,
2025,1,01/16,목,1,9100000003,남성 클래식 셔츠,NORDEN,129000,64500,50,41,3253000,
2025,1,01/16,목,2,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,48300,30,91,3712000,
2025,1,01/16,목,3,9100000009,레더 미니 숄더백,ATELIER BAG,329000,230300,30,19,4165000,
2025,1,01/16,목,4,9100000012,진정 세럼,PURELAB,59000,38400,35,156,6473000,
2025,1,01/16,목,5,9100000021,드립 커피메이커,MORNING BREW,159000,79500,50,49,3381000,
2025,1,01/16,목,6,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,29200,25,99,2659000,
2025,1,01/16,목,7,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,46800,10,98,4095000,
2025,1,01/17,금,1,9100000012,진정 세럼,PURELAB,59000,38400,35,164,7402000,
2025,1,01/17,금,2,9100000014,벨벳 립 틴트,GLOWMATE,32000,22400,30,215,4522000,
2025,1,01/17,금,3,9100000003,남성 클래식 셔츠,NORDEN,129000,83800,35,39,3578000,
2025,1,01/17,금,4,9100000022,전기 토스터,MORNING BREW,119000,95200,20,37,3272000,
2025,1,01/17,금,5,9100000011,수분 장벽 크림,PURELAB,68000,40800,40,182,6388000,
2025,1,01/17,금,6,9100000020,세라믹 냄비 세트,HOME TABLE,249000,174300,30,34,5290000,
2025,1,01/18,토,1,9100000014,벨벳 립 틴트,GLOWMATE,32000,17600,45,209,4153000,
2025,1,01/18,토,2,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,98500,45,73,6079000,
2025,1,01/18,토,3,9100000020,세라믹 냄비 세트,HOME TABLE,249000,199200,20,29,6225000,
2025,1,01/18,토,4,9100000021,드립 커피메이커,MORNING BREW,159000,103400,35,42,3677000,
2025,1,01/18,토,5,9100000011,수분 장벽 크림,PURELAB,68000,51000,25,101,5806000,
2025,1,01/18,토,6,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,126000,25,28,4301000,
2025,1,01/20,월,1,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,100800,40,57,6395000,
2025,1,01/20,월,2,9100000014,벨벳 립 틴트,GLOWMATE,32000,28800,10,167,4207000,
2025,1,01/20,월,3,9100000021,드립 커피메이커,MORNING BREW,159000,135200,15,33,4994000,
2025,1,01/20,월,4,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,89500,50,44,3855000,
2025,1,01/20,월,5,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,152200,15,27,3665000,
2025,1,01/21,화,1,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,55200,20,92,5122000,
2025,1,01/21,화,2,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,117600,30,74,7674000,
2025,1,01/21,화,3,9100000020,세라믹 냄비 세트,HOME TABLE,249000,174300,30,38,6556000,
2025,1,01/21,화,4,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,29200,25,76,2659000,
2025,1,01/21,화,5,9100000014,벨벳 립 틴트,GLOWMATE,32000,22400,30,119,2855000,
2025,1,01/21,화,6,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,22500,50,82,2144000,
2025,1,01/21,화,7,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,35400,40,114,3742000,
2025,1,01/22,수,1,9100000011,수분 장벽 크림,PURELAB,68000,61200,10,126,6943000,
2025,1,01/22,수,2,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,27000,40,168,3848000,
2025,1,01/22,수,3,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,117600,30,76,7780000,
2025,1,01/22,수,4,9100000014,벨벳 립 틴트,GLOWMATE,32000,19200,40,218,3833000,
2025,1,01/22,수,5,9100000002,여성 울 블렌드 가디건,LUMEN,219000,164200,25,26,4743000,
2025,1,01/22,수,6,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,98500,45,28,2996000,
2025,1,01/22,수,7,9100000023,미니 공기청정기,AIRNEST,299000,179400,40,38,6010000,
2025,1,01/22,수,8,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,41600,20,134,5503000,
2025,1,01/24,금,1,9100000003,남성 클래식 셔츠,NORDEN,129000,103200,20,25,2724000,
2025,1,01/24,금,2,9100000021,드립 커피메이커,MORNING BREW,159000,119200,25,42,5416000,
2025,1,01/24,금,3,9100000014,벨벳 립 틴트,GLOWMATE,32000,19200,40,219,3564000,
2025,1,01/24,금,4,9100000005,러닝 경량 자켓,MOTION LAB,149000,89400,40,35,3739000,
2025,1,01/24,금,5,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,151200,10,37,6816000,
2025,1,01/26,일,1,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,51800,25,107,5304000,
2025,1,01/26,일,2,9100000021,드립 커피메이커,MORNING BREW,159000,119200,25,32,3540000,
2025,1,01/26,일,3,9100000002,여성 울 블렌드 가디건,LUMEN,219000,164200,25,26,4703000,
2025,1,01/26,일,4,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,122800,35,28,3293000,
2025,1,01/26,일,5,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,177600,15,23,4816000,
2025,1,01/27,월,1,9100000010,데일리 토트백,ATELIER BAG,259000,194200,25,19,3481000,
2025,1,01/27,월,2,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,134200,25,26,3165000,
2025,1,01/27,월,3,9100000022,전기 토스터,MORNING BREW,119000,101200,15,41,4059000,
2025,1,01/27,월,4,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,46800,10,73,3513000,
2025,1,01/27,월,5,9100000023,미니 공기청정기,AIRNEST,299000,194400,35,20,3624000,
2025,1,01/28,화,1,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,158400,20,61,8095000,
2025,1,01/28,화,2,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,111300,30,45,4256000,
2025,1,01/28,화,3,9100000014,벨벳 립 틴트,GLOWMATE,32000,17600,45,231,3600000,
2025,1,01/28,화,4,9100000012,진정 세럼,PURELAB,59000,41300,30,97,4475000,
2025,1,01/28,화,5,9100000021,드립 커피메이커,MORNING BREW,159000,135200,15,25,3405000,
2025,1,01/28,화,6,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,92400,45,66,5750000,
2025,1,01/28,화,7,9100000005,러닝 경량 자켓,MOTION LAB,149000,96800,35,29,2458000,
2025,1,01/28,화,8,9100000024,무선 서큘레이터,AIRNEST,189000,151200,20,24,3797000,
2025,1,01/29,수,1,9100000020,세라믹 냄비 세트,HOME TABLE,249000,211600,15,21,4550000,
2025,1,01/29,수,2,9100000023,미니 공기청정기,AIRNEST,299000,149500,50,50,6926000,
2025,1,01/29,수,3,9100000009,레더 미니 숄더백,ATELIER BAG,329000,181000,45,25,5555000,
2025,1,01/29,수,4,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,31500,30,103,3001000,
2025,1,01/29,수,5,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,132300,30,35,4931000,
2025,1,01/29,수,6,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,19500,50,153,3067000,
2025,1,01/29,수,7,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,89500,50,44,3604000,
2025,1,01/30,목,1,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,167200,20,30,4515000,
2025,1,01/30,목,2,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,111300,30,53,4974000,
2025,1,01/30,목,3,9100000024,무선 서큘레이터,AIRNEST,189000,94500,50,64,5109000,
2025,1,01/30,목,4,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,134200,25,29,4156000,
2025,1,01/30,목,5,9100000011,수분 장벽 크림,PURELAB,68000,47600,30,78,3682000,
2025,1,01/30,목,6,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,48300,30,48,2820000,
2025,1,01/30,목,7,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,31500,30,107,3975000,
2025,2,02/01,토,1,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,143200,20,43,6854000,
2025,2,02/01,토,2,9100000010,데일리 토트백,ATELIER BAG,259000,142400,45,23,3937000,
2025,2,02/01,토,3,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,108900,45,47,4917000,
2025,2,02/01,토,4,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,151200,10,32,4283000,
2025,2,02/01,토,5,9100000011,수분 장벽 크림,PURELAB,68000,47600,30,73,3886000,
2025,2,02/02,일,1,9100000020,세라믹 냄비 세트,HOME TABLE,249000,174300,30,51,7420000,
2025,2,02/02,일,2,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,41300,30,83,4157000,
2025,2,02/02,일,3,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,58600,15,72,4752000,
2025,2,02/02,일,4,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,156800,25,20,3794000,
2025,2,02/02,일,5,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,29200,25,65,2293000,
2025,2,02/02,일,6,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,46800,10,80,3502000,
2025,2,02/02,일,7,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,92400,45,43,4441000,
2025,2,02/02,일,8,9100000024,무선 서큘레이터,AIRNEST,189000,132300,30,34,4530000,
2025,2,02/03,월,1,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,29500,50,89,3039000,
2025,2,02/03,월,2,9100000021,드립 커피메이커,MORNING BREW,159000,111300,30,45,6098000,
2025,2,02/03,월,3,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,143200,20,37,5095000,
2025,2,02/03,월,4,9100000022,전기 토스터,MORNING BREW,119000,83300,30,42,3544000,
2025,2,02/03,월,5,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,125300,30,46,4930000,
2025,2,02/03,월,6,9100000014,벨벳 립 틴트,GLOWMATE,32000,16000,50,188,3081000,
2025,2,02/03,월,7,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,143100,10,27,3512000,
2025,2,02/04,화,1,9100000003,남성 클래식 셔츠,NORDEN,129000,90300,30,47,3873000,
2025,2,02/04,화,2,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,167200,20,31,4897000,
2025,2,02/04,화,3,9100000022,전기 토스터,MORNING BREW,119000,83300,30,39,3116000,
2025,2,02/04,화,4,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,98500,45,58,5796000,
2025,2,02/04,화,5,9100000001,여성 캐시미어 블렌드 니트,LUMEN,189000,113400,40,34,3617000,
2025,2,02/06,목,1,9100000010,데일리 토트백,ATELIER BAG,259000,181300,30,34,5220000,
2025,2,02/06,목,2,9100000022,전기 토스터,MORNING BREW,119000,71400,40,88,5550000,
2025,2,02/06,목,3,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,46800,10,112,5167000,
2025,2,02/06,목,4,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,27000,40,97,2592000,
2025,2,02/06,목,5,9100000002,여성 울 블렌드 가디건,LUMEN,219000,120500,45,51,5558000,
2025,2,02/06,목,6,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,126000,25,33,4870000,
2025,2,02/06,목,7,9100000003,남성 클래식 셔츠,NORDEN,129000,90300,30,36,3046000,
2025,2,02/06,목,8,9100000011,수분 장벽 크림,PURELAB,68000,57800,15,55,3001000,
2025,2,02/09,일,1,9100000018,너리싱 헤어 마스크,BOTANIC DAY,45000,24800,45,216,5047000,
2025,2,02/09,일,2,9100000014,벨벳 립 틴트,GLOWMATE,32000,25600,20,155,3644000,
2025,2,02/09,일,3,9100000003,남성 클래식 셔츠,NORDEN,129000,64500,50,52,3459000,
2025,2,02/09,일,4,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,115000,45,49,6243000,
2025,2,02/09,일,5,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,79500,50,26,2372000,
2025,2,02/10,월,1,9100000003,남성 클래식 셔츠,NORDEN,129000,116100,10,21,2614000,
2025,2,02/10,월,2,9100000009,레더 미니 숄더백,ATELIER BAG,329000,181000,45,37,6854000,
2025,2,02/10,월,3,9100000014,벨벳 립 틴트,GLOWMATE,32000,17600,45,183,3157000,
2025,2,02/10,월,4,9100000011,수분 장벽 크림,PURELAB,68000,34000,50,148,4285000,
2025,2,02/10,월,5,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,29200,25,119,3889000,
2025,2,02/10,월,6,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,41400,40,77,2876000,
2025,2,02/11,화,1,9100000023,미니 공기청정기,AIRNEST,299000,239200,20,26,6069000,
2025,2,02/11,화,2,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,44200,15,123,5582000,
2025,2,02/11,화,3,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,34500,50,117,5000000,
2025,2,02/11,화,4,9100000022,전기 토스터,MORNING BREW,119000,95200,20,38,3420000,
2025,2,02/11,화,5,9100000021,드립 커피메이커,MORNING BREW,159000,127200,20,27,3063000,
2025,2,02/11,화,6,9100000005,러닝 경량 자켓,MOTION LAB,149000,104300,30,35,3360000,
2025,2,02/11,화,7,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,168300,15,43,6352000,
2025,2,02/11,화,8,9100000002,여성 울 블렌드 가디건,LUMEN,219000,109500,50,31,3718000,
2025,2,02/15,토,1,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,177600,15,24,4978000,
2025,2,02/15,토,2,9100000021,드립 커피메이커,MORNING BREW,159000,135200,15,37,4653000,
2025,2,02/15,토,3,9100000022,전기 토스터,MORNING BREW,119000,107100,10,27,2562000,
2025,2,02/15,토,4,9100000010,데일리 토트백,ATELIER BAG,259000,181300,30,25,4631000,
2025,2,02/15,토,5,9100000024,무선 서큘레이터,AIRNEST,189000,141800,25,33,4566000,
2025,2,02/17,월,1,9100000020,세라믹 냄비 세트,HOME TABLE,249000,199200,20,24,4460000,
2025,2,02/17,월,2,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,28600,45,110,3915000,
2025,2,02/17,월,3,9100000022,전기 토스터,MORNING BREW,119000,65500,45,78,4794000,
2025,2,02/17,월,4,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,167200,20,22,3121000,
2025,2,02/17,월,5,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,138600,30,46,6539000,
2025,2,02/18,화,1,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,116400,35,58,5617000,
2025,2,02/18,화,2,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,36400,30,105,3368000,
2025,2,02/18,화,3,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,118800,40,48,5506000,
2025,2,02/18,화,4,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,143100,10,32,4107000,
2025,2,02/18,화,5,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,146300,30,34,5619000,
2025,2,02/18,화,6,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,44800,35,60,3043000,
2025,2,02/18,화,7,9100000019,프리미엄 프라이팬 세트,HOME TABLE,179000,125300,30,40,4548000,
2025,2,02/19,수,1,9100000021,드립 커피메이커,MORNING BREW,159000,87400,45,41,3757000,
2025,2,02/19,수,2,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,127200,20,20,2791000,
2025,2,02/19,수,3,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,35400,40,74,3084000,
2025,2,02/19,수,4,9100000024,무선 서큘레이터,AIRNEST,189000,94500,50,56,5600000,
2025,2,02/19,수,5,9100000002,여성 울 블렌드 가디건,LUMEN,219000,109500,50,62,5990000,
2025,2,02/19,수,6,9100000010,데일리 토트백,ATELIER BAG,259000,181300,30,39,6058000,
2025,2,02/21,금,1,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,29500,50,154,4063000,
2025,2,02/21,금,2,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,143100,10,19,3283000,
2025,2,02/21,금,3,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,109200,35,79,8054000,
2025,2,02/21,금,4,9100000003,남성 클래식 셔츠,NORDEN,129000,77400,40,67,4407000,
2025,2,02/21,금,5,9100000005,러닝 경량 자켓,MOTION LAB,149000,126600,15,34,4381000,
2025,2,02/21,금,6,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,104500,50,42,4217000,
2025,2,02/21,금,7,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,44200,15,103,4629000,
2025,2,02/23,일,1,9100000005,러닝 경량 자켓,MOTION LAB,149000,126600,15,26,3225000,
2025,2,02/23,일,2,9100000002,여성 울 블렌드 가디건,LUMEN,219000,131400,40,40,4979000,
2025,2,02/23,일,3,9100000010,데일리 토트백,ATELIER BAG,259000,129500,50,36,4234000,
2025,2,02/23,일,4,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,158400,20,51,7609000,
2025,2,02/23,일,5,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,87400,45,49,3613000,
2025,2,02/24,월,1,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,89500,50,71,6028000,
2025,2,02/24,월,2,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,168000,151200,10,29,5078000,
2025,2,02/24,월,3,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,58600,15,90,4657000,
2025,2,02/24,월,4,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,177600,15,27,4577000,
2025,2,02/24,월,5,9100000012,진정 세럼,PURELAB,59000,53100,10,50,2821000,
2025,2,02/24,월,6,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,127200,20,26,3705000,
2025,2,02/24,월,7,9100000022,전기 토스터,MORNING BREW,119000,59500,50,36,2439000,
2025,2,02/26,수,1,9100000026,시그니처 디저트 세트,DAILY PANTRY,59000,29500,50,100,3404000,
2025,2,02/26,수,2,9100000020,세라믹 냄비 세트,HOME TABLE,249000,224100,10,16,3911000,
